;Vl Remun Média Nom
Município;Soma;Freq;Média
AC-RIO BRANCO;11632,4000000004;13;894,800000000029
AM-MANAUS;7151,14000000153;5;1430,22800000031
PA-BELEM;104876,700000007;36;2913,24166666685
PA-MARABA;12520,04;12;1043,33666666667
AP-MACAPA;937;1;937
TO-ARAGUAINA;1874;2;937
TO-PALMAS;937;1;937
MA-BACABAL;1000;1;1000
MA-SAO JOSE DE RIBAMAR;1937;2;968,5
MA-SAO LUIS;24641,21;18;1368,95611111111
PI-ALTOS;999,980000000447;1;999,980000000447
PI-MASSAPE DO PIAUI;1800;1;1800
PI-PICOS;3748;4;937
PI-TERESINA;1000;1;1000
CE-FORTALEZA;442135,340000002;82;5391,89439024392
CE-HORIZONTE;19657,6900000004;18;1092,09388888891
CE-IGUATU;1000;1;1000
CE-JUAZEIRO DO NORTE;942,509999999776;1;942,509999999776
RN-CAICO;0;1;0
RN-CEARA-MIRIM;21095,5000000019;21;1004,54761904771
RN-NATAL;148930,969999992;74;2012,58067567557
RN-TABOLEIRO GRANDE;1500,1400000006;1;1500,1400000006
PB-CAJAZEIRAS;937;1;937
PB-CAMPINA GRANDE;13610,8000000007;12;1134,2333333334
PB-JOAO PESSOA;39780,1100000017;42;947,145476190517
PE-BARREIROS;50209,959999999;46;1091,5208695652
PE-BELO JARDIM;937;1;937
PE-CARPINA;10307;11;937
PE-CARUARU;25847,8200000003;28;923,136428571439
PE-PALMARES;1148,86999999918;1;1148,86999999918
PE-RECIFE;1316706,90999995;171;7700,0404093564
PE-SALGUEIRO;30410,9400000004;25;1216,43760000002
PE-SAO JOSE DA COROA GRANDE;7495,29999999888;6;1249,21666666648
PE-TAMANDARE;23652,169999999;21;1126,29380952376
AL-ARAPIRACA;3937;3;1312,33333333333
AL-COQUEIRO SECO;1200;1;1200
AL-MACEIO;26046,4200000009;36;723,51166666669
AL-MARAGOGI;984,780000000261;1;984,780000000261
AL-MURICI;11421,2900000038;12;951,77416666698
AL-SAO MIGUEL DOS CAMPOS;1000;1;1000
SE-ARACAJU;10404,75;10;1040,475
SE-ITABAIANA;7380;7;1054,28571428571
SE-MURIBECA;941,610000000335;1;941,610000000335
BA-CATU;1874;2;937
BA-FEIRA DE SANTANA;4748,6099999994;4;1187,15249999985
BA-JUAZEIRO;940,589999999851;1;940,589999999851
BA-SALVADOR;2203715,41999983;168;13117,3536904752
BA-VITORIA DA CONQUISTA;937;1;937
MG-BELO HORIZONTE;4238586,9600002;305;13897,0064262302
MG-DIVINOPOLIS;1314,94999999925;1;1314,94999999925
MG-FORMIGA;2487,16000000015;5;497,43200000003
MG-ITUIUTABA;70183,5399999982;27;2599,3903703703
MG-JUIZ DE FORA;2503,41999999993;7;357,631428571418
MG-MURIAE;5550;3;1850
MG-NOVA LIMA;17630,5799999963;17;1037,09294117626
MG-PATOS DE MINAS;2810,99000000022;3;936,996666666741
MG-POCOS DE CALDAS;34371,2000000011;29;1185,21379310349
MG-SETE LAGOAS;25900,7700000047;12;2158,39750000039
MG-TARUMIRIM;941,030000000261;1;941,030000000261
